,pbmc_1,pbmc_10
SRPX2,0.0,0.0
SRPX,0.200014,0.76056487067
SRRD,9.2711600856951,8.2269600211208
SRRM1,49.154294,42.723579
SRRM2,59.840781,47.308503
SRRM3,0.0,0.0
SRRM4,0.0151537,0.0511654
SRRM5,0.059833,0.029909
SRRT,42.10709,37.13423
SRR,4.750657,0.75142
SRXN1,22.433,14.875
SRY,0.0,0.0
SS18L1,2.170519,1.704414
SS18L2,38.8238,33.9846
SS18,22.920592559,19.098940461
SSBP1,131.70809,124.823295
SSBP2,15.579657,10.411638
SSBP3,74.12763,55.87428
SSBP4,87.716676,99.0086
SSB,81.06015,64.9806756
SSC5D,0.0950816,0.0200542
SSFA2,16.605248000155,15.569700410677
SSH1,14.778206,11.9723688
SSH2,24.091939,22.990887
SSH3,3.2019,3.113318
SSNA1,85.7529,93.6602
SSPN,0.538225,0.208674
SSPO,0.3285036,0.2227073
SSR1,31.0625830005818,23.4360793006918
SSR2,406.141832,341.11208
SSR3,46.73479,34.6994
SSR4,367.906431,385.828
SSRP1,75.772806,63.3949
SSSCA1,34.1028,38.2977
SSTR1,0.0,0.0
SSTR2,0.809274,0.750005
SSTR3,3.76362,3.56406
SSTR4,0.0,0.0
SSTR5,0.0,0.0
SST,0.0,0.0
SSU72,185.8967,161.797669
SSX1,0.0,0.0
SSX2IP,3.097808,1.86303720774587
SSX2,0.0,0.00560872
SSX3,0.0,0.0
SSX4,0.0,0.0
SSX5,0.0,0.0
SSX7,0.0795565,0.0453052
ST13,137.764,126.577
ST14,19.8958,25.6032
ST18,0.0,0.0
ST20,7.617596,5.800701
ST3GAL1,36.8479,28.3732
ST3GAL2,19.2133294,23.0769
ST3GAL3,5.04938500100917,4.92599977
ST3GAL4,11.5225530013337,8.44371040775
ST3GAL5,19.611824,16.561564722
ST3GAL6,2.22932,2.61341
ST5,0.5946992,0.293192
ST6GAL1,76.2289,59.10035
ST6GAL2,0.243426856975,0.2321472478456
ST6GALNAC1,0.72361,0.704473
ST6GALNAC2,5.12239,4.525
ST6GALNAC3,1.979303,2.025446
ST6GALNAC4,15.03637,14.45037
ST6GALNAC5,0.0,0.0
ST6GALNAC6,30.768111,23.285720436967
ST7L,3.928974,2.07170788
ST7-AS1,0.527713,0.54841
ST7-AS2,0.0,0.0
ST7,3.2645693,3.918369
ST7-OT4,0.0,0.0
ST8SIA1,0.8032661,0.694123
ST8SIA2,0.0,0.0
ST8SIA3,0.00681314,0.00459688
ST8SIA4,10.17949,7.720914
ST8SIA5,0.00788762,0.0823577
ST8SIA6,1.621716,0.9999166
STAB1,10.83971,12.19487193
STAB2,0.00481845,0.0
STAC2,0.331717,0.158384
STAC3,20.518601,33.3999456
STAC,0.0661945,0.0
STAG1,11.242476,6.6568445
STAG2,38.84511971,24.486952
STAG3L4,3.76195,3.8913
STAG3,1.6673943,1.826696
STAM2,5.037,4.05639
STAMBPL1,5.415756,3.45378962
STAMBP,17.252379,15.586166
STAM,8.065048,8.43707
STAP1,11.99303,6.67245
STAP2,0.868713,0.752164
STARD10,14.729655,19.5799740024159
STARD13,0.309200397634951,0.0508414
STARD3NL,28.39335,28.18865
STARD3,44.213126,49.62871138579
STARD4,4.355613,1.969602
STARD5,6.69353,5.540379
STARD6,0.0,0.0
STARD7,73.55175,61.08339
STARD8,1.70404,0.769439
STAR,0.27711,0.114403
STAT1,62.591949,109.993976
STAT2,31.5596027,41.569524
STAT3,58.566577,56.988985
STAT4,12.726013,9.629032
STAT5A,50.726924,49.07342
STAT5B,72.10894,50.248306
STAT6,118.856911,127.0558915
STATH,0.0,0.0
STAU1,38.35216012,34.218491104792
STAU2,9.117025,6.199529282
STBD1,1.03279,0.485863
STC1,0.0717412,0.00510655
STC2,0.0,0.0
STEAP1,0.0225538,0.0
STEAP2,0.0869051,0.0492108
STEAP3,3.692604,2.79864
STEAP4,5.789627,3.850892
STH,0.0,0.0
STIL,0.340337,0.443917
STIM1,42.4082600246283,40.2652147000186
STIM2,18.4055128,16.700329
STIP1,51.770000134967,45.193962761
STK10,93.3225,81.129
STK11IP,10.1671852,11.223292
STK11,44.4191,55.6349
STK16,17.32456,16.916617
STK17A,35.2217,22.3327
STK17B,112.814812,92.753715
STK19,13.689528,17.693727
STK24,61.663983,65.1628723
STK25,35.0853084,35.5033562228611
STK31,0.793553,0.858126
STK32A,0.0,0.0
STK32B,0.533674,0.501405
STK32C,10.353141,24.97597
STK33,0.523957,0.401394
STK35,6.10423,4.4050145
STK36,1.980460215,2.70798
STK38L,8.233583,5.3220710889
STK38,60.35442,46.294589
STK39,12.3109,6.77995
STK3,3.0815704,1.7909777
STK40,42.5241317,45.09177848466
STK4,43.667075,41.64262
STMN1,38.151473,31.600529
STMN2,0.0,0.0
STMN3,32.3468,27.3621
STMN4,0.0,0.0
STOML1,5.949514,6.582515
STOML2,59.3084870199498,48.3459810062735
STOML3,0.0,0.0
STOM,53.2295,42.38412
STON1-GTF2A1L,0.0,0.0
STON1,0.376873343377836,0.40871
STON2,0.4676394,1.276292
STOX1,1.147511,0.219452
STOX2,0.00590189,0.00448128
STRA13,43.63962,46.87684
STRA6,0.245807,0.245564
STRA8,0.0,0.0
STRADA,13.35379140474,11.7198348257668
STRADB,14.4512,13.4442
STRAP,66.15426,62.0134
STRBP,15.8017304,14.779778
STRC,0.420405,0.302799
STRN3,3.996392,2.64782
STRN4,39.596372,40.658264
STRN,9.2413436,5.5499982072
STS,5.002602,3.42776
STT3A,30.830067,23.707082
STT3B,73.14031,48.757885
STUB1,91.216409,97.1241901
STX10,131.85763,171.41737
STX11,34.6135,41.9301
STX12,18.3303,13.045
STX16,32.5057635679,31.49986922539
STX17,9.222570037341,8.08365184495
STX18,16.2936,14.9861
STX19,0.0,0.0
STX1A,1.450031,1.573389
STX1B,0.352125,0.215212
STX2,6.67857024,7.42396
STX3,8.8997192018,9.502801
STX4,44.34696,44.099772
STX5,36.574816,39.857194
STX6,13.0776580230939,11.59561
STX7,17.3001968,12.0285
STX8,50.6318,47.7335
STXBP1,1.44431,0.880751
STXBP2,157.3095853942,216.515647792
STXBP3,39.3797,27.3208593433
STXBP4,0.385251121674,0.2339480195401
STXBP5L,0.0,0.0
STXBP5,7.07467000026998,4.614504
STXBP6,0.522284,0.0
STYK1,0.0813361,0.0220565
